book_name,chapter,verse,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
TgO_Genesis,01,01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.375,0.0,0.0
TgO_Genesis,01,02,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,15.0,3.3125,0.0,0.0
TgO_Genesis,01,03,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,6.0,2.5714,0.0,0.0
TgO_Genesis,01,04,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,12.0,2.6154,0.0,0.0
TgO_Genesis,01,05,0.0,0.0,0.0,0.7692,0.0,0.0,0.0,13.0,2.6429,0.0,0.0
TgO_Genesis,01,06,0.0,0.0,0.0,0.7273,0.0,0.0,0.0,11.0,2.8333,0.0,0.0
TgO_Genesis,01,07,0.0,0.0,0.0,0.625,0.0,0.0,0.0,16.0,3.1176,0.0,0.0
TgO_Genesis,01,08,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10.0,2.7273,0.0,0.0
TgO_Genesis,01,09,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,12.0,2.9231,0.0,0.0
TgO_Genesis,01,10,0.0,0.0,0.0,0.7692,0.0,0.0,0.0,13.0,2.7143,0.0,0.0
TgO_Genesis,01,11,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,21.0,3.2727,0.0,0.0
TgO_Genesis,01,12,0.0,0.0,0.0,0.6842,0.0,0.0,0.0,19.0,3.2,0.0,0.0
TgO_Genesis,01,13,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,6.0,2.5714,0.0,0.0
TgO_Genesis,01,14,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,18.0,2.5789,0.0,0.0
TgO_Genesis,01,15,0.0,0.0,0.0,0.8889,0.0,0.0,0.0,9.0,2.4,0.0,0.0
TgO_Genesis,01,16,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,18.0,2.6842,0.0,0.0
TgO_Genesis,01,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.3333,0.0,0.0
TgO_Genesis,01,18,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,12.0,2.3846,0.0,0.0
TgO_Genesis,01,19,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,6.0,2.5714,0.0,0.0
TgO_Genesis,01,20,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,16.0,3.0588,0.0,0.0
TgO_Genesis,01,21,0.0,0.0,0.0,0.6522,0.0,0.0,0.0,23.0,2.4583,0.0,0.0
TgO_Genesis,01,22,0.0,0.0,0.0,0.6154,0.0,0.0,0.0,13.0,2.2857,0.0,0.0
TgO_Genesis,01,23,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,6.0,2.5714,0.0,0.0
TgO_Genesis,01,24,0.0,0.0,0.0,0.6429,0.0,0.0,0.0,14.0,2.3333,0.0,0.0
